threshold,accuracy,balanced_accuracy,f1_macro,recall_safe,recall_unsafe
0.65,0.70032,0.6498237504544175,0.6504425134864628,0.7852314774349561,0.5144160234738789
0.655,0.69708,0.6510503746558578,0.6501605517999463,0.7744806689391953,0.5276200803725203
0.66,0.69336,0.6519273790688179,0.6493652200748562,0.7630306208664743,0.5408241372711615
0.665,0.68942,0.6528433942883738,0.6484068043499462,0.7509250356903534,0.5547617528863941
0.67,0.685,0.653063262398321,0.6467186155749612,0.7387029105847391,0.5674236142119028
0.675,0.68104,0.6534449191449971,0.6452371239334664,0.7274422398974448,0.5794475983925496
0.68,0.67733,0.6535841735631245,0.6436550816158804,0.717259563557964,0.5899087835682848
0.685,0.67366,0.6539171634411609,0.6421356428951918,0.7068583748506833,0.6009759520316387
0.69,0.66977,0.6538733313404388,0.640246834570021,0.6965008886169624,0.6112457740639153
0.695,0.66587,0.6535883095523616,0.6381735262052379,0.6865221571540949,0.6206544619506283
0.7,0.66225,0.6536025276542081,0.6363385292990323,0.6767910730414008,0.6304139822670154
0.705,0.65821,0.6534667657356423,0.6341572717582753,0.6661859394575066,0.6407475920137782
0.71,0.65402,0.6531870949010639,0.6317687141366776,0.6554205634705591,0.6509536263315685
0.715,0.64938,0.6525709923317571,0.6289220888365303,0.6440142178713982,0.6611277667921158
0.72,0.64437,0.6518413284700046,0.6257506051461859,0.6318066602569705,0.6718759966830389
0.725,0.63907,0.6507098459594249,0.6221771226018044,0.6194971302042362,0.6819225617146137
0.73,0.63329,0.6493153754906473,0.6181422017991307,0.6063426856626751,0.6922880653186196
0.735,0.6275,0.648052232204728,0.6140677701454826,0.5929405937709408,0.703163870638515
0.74,0.62167,0.6467339643873504,0.6098622625477508,0.5795239343880197,0.7139439943866811
0.745,0.61496,0.6446794319444492,0.6047503382394352,0.5649855781837252,0.7243732857051732
0.75,0.60721,0.6418414004107567,0.5985961462121938,0.5489759053695773,0.7347068954519359
0.755,0.59899,0.6388689492268544,0.5919543478829675,0.5319319406811759,0.745805957772533
0.76,0.59076,0.636097130690036,0.5852132183011002,0.5145237887131078,0.7576704726669643
0.765,0.58261,0.6333316030197951,0.578379447188253,0.49731958162165313,0.7693436244179371
0.77,0.57362,0.6302487889426733,0.5706493605366693,0.4783964105701716,0.7821011673151751
0.775,0.56545,0.62764195744181,0.5634734321023948,0.4608717186726102,0.7944121962110098
0.78,0.55635,0.6241844739402023,0.555198963047499,0.44228359991842203,0.8060853479619825
0.785,0.54759,0.6212431964626426,0.5470611536306003,0.4237391836377939,0.8187472092874912
0.79,0.53797,0.6174156213732097,0.5378331135166772,0.40437898785071236,0.8304522548957071
0.795,0.52917,0.6143325875339098,0.5291697490945593,0.3859656789907642,0.8426994960770555
0.8,0.51901,0.6097131837631392,0.5188891341254979,0.3664889432741893,0.8529374242520891
0.805,0.50839,0.6045768008514827,0.5078711481085348,0.3466480202779477,0.8625055814250175
0.81,0.49792,0.5998268959806289,0.49668275743260776,0.3265594499315328,0.873094342029725
0.815,0.48732,0.5952421979079083,0.48497899447429876,0.30584447746409116,0.8846399183517255
0.82,0.47679,0.5906391805901152,0.4729795892539466,0.2853480173644495,0.8959303438157811
0.825,0.4658,0.5857964059883393,0.46003587082586966,0.2640212102671678,0.9075716017095108
0.83,0.45362,0.5798529597191947,0.44532905178607307,0.24135419398071264,0.9183517254576768
0.835,0.4415,0.573779952263046,0.43021381914362905,0.21906593246511086,0.928493972060981
0.84,0.42982,0.5679754505148346,0.41509621971239674,0.19750604550884246,0.9384448555208267
0.845,0.41953,0.5625336506769806,0.4014735239282974,0.179063601666521,0.9460036996874402
0.85,0.41025,0.5574636554568684,0.38891051255707554,0.16270430906389302,0.9522230018498438
0.855,0.40098,0.5523143121520673,0.37606241253416206,0.1465052588643184,0.9581233654398162
0.86,0.393,0.5477060656095086,0.36482865169844403,0.13285551962241063,0.9625566115966065
0.865,0.38651,0.544321708088808,0.3552501845733102,0.12114325670832969,0.9675001594692862
0.87,0.37841,0.5395220984027906,0.34342610893742875,0.10749351746642194,0.9715506793391593
0.875,0.36992,0.5346030231161694,0.3306419223512539,0.09299886373568744,0.9762071824966512
0.88,0.36088,0.5293093313709992,0.31670632996546144,0.07765929551612621,0.9809593672258723
0.885,0.35272,0.5246479460550144,0.303680633197289,0.06361623401217842,0.9856796580978504
0.89,0.34471,0.5198012686999702,0.2908163326204434,0.05028697957637736,0.9893155578235632
0.895,0.33845,0.5159000458686874,0.28065501680643185,0.04006060076333654,0.9917394909740384
0.9,0.33439,0.513471299322515,0.2738549047687774,0.03325758237916266,0.9936850162658672
0.905,0.33053,0.5109803112955319,0.2675042418610306,0.02709553360720217,0.9948650889838617
0.91,0.3277,0.5092135595155777,0.2627368011095576,0.022477638901028465,0.995949480130127
0.915,0.32545,0.5077479804176418,0.25898522833207505,0.018908603560294845,0.9965873572749888
0.92,0.32346,0.506445789156048,0.2556535253587133,0.015762025463974594,0.9971295528481214
0.925,0.32213,0.5056069987375578,0.253379790680954,0.013606036768347755,0.9976079607067678
0.93,0.32107,0.504982195816144,0.25151020697928944,0.011814235352387611,0.9981501562799004
0.935,0.31999,0.5043081726714308,0.2496422202442442,0.010051568918800805,0.9985647764240607
0.94,0.31883,0.5035239004638016,0.24769995548596338,0.008259767502840661,0.9987880334247624
0.945,0.31771,0.5028120791536868,0.2457647662855867,0.006453398595693849,0.9991707597116796
